file	obj	non_def	iter	time	best_time
100_4_k3_100	76	0	497	1202.96	802.395
100_4_k3_1000	76	0	321	1201.21	478.59
100_4_k3_200	76	0	648	1202.68	353.336
100_4_k3_300	76	0	356	1202.44	845.44
100_4_k3_400	76	0	586	1200.4	570.09
100_4_k3_500	76	0	593	1200.38	274.832
100_4_k3_600	72	0	589	1201.24	1109.42
100_4_k3_700	75	0	648	1200.59	656.665
100_4_k3_800	76	0	596	1202.08	707.261
100_4_k3_900	76	0	542	1202.11	204.278
100_4_k4_100	81	0	115	1203.91	709.875
100_4_k4_1000	80	0	182	1200.56	367.407
100_4_k4_200	81	0	170	1202.69	535.075
100_4_k4_300	77	0	146	1204.82	1159.18
100_4_k4_400	78	0	181	1203.87	880.265
100_4_k4_500	77	0	153	1202.94	219.972
100_4_k4_600	77	0	186	1207.26	1096.55
100_4_k4_700	79	0	157	1202.9	236.963
100_4_k4_800	80	0	171	1206.82	372.593
100_4_k4_900	80	0	177	1201.88	155.748
100_4_k5_100	91	0	21	1202.52	946.355
100_4_k5_1000	92	0	26	1206.38	740.505
100_4_k5_200	91	0	24	1223.66	1095.52
100_4_k5_300	90	0	25	1201.99	860.946
100_4_k5_400	90	0	25	1218.24	1044.97
100_4_k5_500	90	0	25	1212.08	830.456
100_4_k5_600	89	0	25	1226.41	1021.51
100_4_k5_700	91	0	20	1235.76	1235.76
100_4_k5_800	91	0	21	1245.75	1197.45
100_4_k5_900	92	0	20	1229.72	1229.72
100_5_k2_100	59	0	162	1201.8	261.189
100_5_k2_1000	59	0	298	1201.29	114.577
100_5_k2_200	59	0	231	1200.06	22.99
100_5_k2_300	59	0	169	1203.46	174.582
100_5_k2_400	59	0	275	1200.45	73.411
100_5_k2_500	59	0	168	1208.13	376.648
100_5_k2_600	59	0	236	1205.49	213.563
100_5_k2_700	59	0	165	1202.52	189.294
100_5_k2_800	59	0	300	1202.93	35.748
100_5_k2_900	59	0	321	1201.12	434.006
100_5_k3_100	69	0	433	1201.9	514.563
100_5_k3_1000	69	0	319	1200.19	431.607
100_5_k3_200	70	0	465	1206.17	184.358
100_5_k3_300	70	0	356	1201.02	857.178
100_5_k3_400	70	0	262	1201.3	760.771
100_5_k3_500	69	0	384	1201.95	830.184
100_5_k3_600	69	0	281	1203.48	1098.52
100_5_k3_700	70	0	269	1213.5	1104.4
100_5_k3_800	69	0	252	1200	608.991
100_5_k3_900	70	0	275	1203.7	420.655
100_5_k4_100	74	0	155	1200.07	593.406
100_5_k4_1000	76	0	137	1204.85	206.413
100_5_k4_200	73	0	195	1209.38	334.088
100_5_k4_300	75	0	166	1201.71	440.735
100_5_k4_400	75	0	107	1203.21	883.179
100_5_k4_500	75	0	137	1208.54	649.881
100_5_k4_600	76	0	158	1207.96	745.17
100_5_k4_700	75	0	186	1204.2	786.225
100_5_k4_800	75	0	166	1203.67	442.478
100_5_k4_900	76	0	93	1205.49	956.066
100_5_k5_100	85	0	9	1280.94	1280.94
100_5_k5_1000	84	0	21	1209.32	718.793
100_5_k5_200	87	0	11	1217.01	503.658
100_5_k5_300	86	0	11	1249.08	694.171
100_5_k5_400	87	0	11	1263.32	621.761
100_5_k5_500	87	0	10	1213.44	639.35
100_5_k5_600	87	0	10	1211.49	1211.49
100_5_k5_700	86	0	20	1203.64	877.186
100_5_k5_800	84	0	15	1229.86	1168.31
100_5_k5_900	86	0	17	1209.03	991.426
10_1_k2_100	6	0	5001	17.772	0.001
10_1_k2_1000	6	0	5001	17.833	0.001
10_1_k2_200	6	0	5001	17.812	0.003
10_1_k2_300	6	0	5001	17.723	0.001
10_1_k2_400	6	0	5001	18.333	0.004
10_1_k2_500	6	0	5001	18.225	0.002
10_1_k2_600	6	0	5001	17.822	0.002
10_1_k2_700	6	0	5001	17.682	0.002
10_1_k2_800	6	0	5001	17.877	0.001
10_1_k2_900	6	0	5001	18.165	0.002
10_1_k3_100	7	0	5001	100.27	0.009
10_1_k3_1000	7	0	5001	65.86	0.008
10_1_k3_200	7	0	5001	100.268	0.012
10_1_k3_300	7	0	5001	101.685	0.032
10_1_k3_400	7	0	5001	66.066	0.005
10_1_k3_500	7	0	5001	99.843	0.007
10_1_k3_600	7	0	5001	65.578	0.013
10_1_k3_700	7	0	5001	103.796	0.007
10_1_k3_800	7	0	5001	66.142	0.016
10_1_k3_900	7	0	5001	66.273	0.007
10_1_k4_100	7	0	5001	142.797	0.035
10_1_k4_1000	7	0	5001	143.669	0.065
10_1_k4_200	7	0	5001	215.704	0.034
10_1_k4_300	7	0	5001	145.255	0.846
10_1_k4_400	7	0	5001	144.75	0.053
10_1_k4_500	7	0	5001	141.819	0.217
10_1_k4_600	7	0	5001	143.463	0.208
10_1_k4_700	7	0	5000	219.215	0.182
10_1_k4_800	7	0	5000	143.656	0.161
10_1_k4_900	7	0	5001	144.292	0.547
10_1_k5_100	8	0	5001	287.888	0.005
10_1_k5_1000	8	0	3146	300.104	0.071
10_1_k5_200	8	0	5001	287.893	0.011
10_1_k5_300	8	0	5001	288.367	0.08
10_1_k5_400	8	0	5001	287.83	0.032
10_1_k5_500	8	0	5001	269.028	0.033
10_1_k5_600	8	0	3316	300.071	0.168
10_1_k5_700	8	0	3214	300.041	0.004
10_1_k5_800	8	0	3369	300.006	0.051
10_1_k5_900	8	0	2957	300.027	0.061
10_2_k2_100	6	0	5000	13.286	0
10_2_k2_1000	6	0	5000	13.342	0
10_2_k2_200	6	0	5000	13.27	0
10_2_k2_300	6	0	5000	13.111	0
10_2_k2_400	6	0	5000	18.633	0
10_2_k2_500	6	0	5000	13.364	0
10_2_k2_600	6	0	5000	13.349	0
10_2_k2_700	6	0	5000	13.236	0
10_2_k2_800	6	0	5000	18.848	0
10_2_k2_900	6	0	5000	18.769	0
10_2_k3_100	6	0	5000	98.175	0.065
10_2_k3_1000	6	0	5000	88.217	0.086
10_2_k3_200	6	0	5001	69.791	0.017
10_2_k3_300	6	0	5001	71.593	0.042
10_2_k3_400	6	0	5001	71.856	0.015
10_2_k3_500	6	0	5001	72.437	0.008
10_2_k3_600	6	0	5001	97.653	0.011
10_2_k3_700	6	0	5001	88.806	0.015
10_2_k3_800	6	0	5001	87.077	0.075
10_2_k3_900	6	0	5001	86.3	0.009
10_2_k4_100	7	0	5001	223.547	0.084
10_2_k4_1000	7	0	5001	212.731	0.128
10_2_k4_200	7	0	5001	201.631	0.047
10_2_k4_300	7	0	5001	213.741	0.051
10_2_k4_400	7	0	5001	207.2	0.064
10_2_k4_500	7	0	5001	206.481	0.032
10_2_k4_600	7	0	5001	202.141	0.017
10_2_k4_700	7	0	5001	220.61	0.104
10_2_k4_800	7	0	5001	223.414	0.082
10_2_k4_900	7	0	5001	221.283	0.004
10_2_k5_100	8	0	4233	300.006	0.013
10_2_k5_1000	8	0	4304	300.003	0.013
10_2_k5_200	8	0	4426	300.039	0.002
10_2_k5_300	8	0	4428	300.001	0.002
10_2_k5_400	8	0	4443	300.048	0.002
10_2_k5_500	8	0	4176	300.016	0.004
10_2_k5_600	8	0	4150	300.03	0.019
10_2_k5_700	8	0	4266	300.023	0.005
10_2_k5_800	8	0	4355	300.075	0.002
10_2_k5_900	8	0	4226	300.043	0.002
10_3_k2_100	6	0	5000	14.264	0
10_3_k2_1000	6	0	5000	15.258	0
10_3_k2_200	6	0	5000	14.268	0
10_3_k2_300	6	0	5000	13.98	0
10_3_k2_400	6	0	5000	15.511	0
10_3_k2_500	6	0	5000	15.185	0
10_3_k2_600	6	0	5000	15.036	0
10_3_k2_700	6	0	5000	14.131	0
10_3_k2_800	6	0	5000	14.883	0
10_3_k2_900	6	0	5000	15.342	0
10_3_k3_100	7	0	5000	85.614	0
10_3_k3_1000	7	0	5000	87.948	0
10_3_k3_200	7	0	5000	85.692	0
10_3_k3_300	7	0	5000	83.176	0
10_3_k3_400	7	0	5000	84.121	0
10_3_k3_500	7	0	5000	74.85	0
10_3_k3_600	7	0	5000	85.835	0
10_3_k3_700	7	0	5000	62.354	0
10_3_k3_800	7	0	5000	82.583	0
10_3_k3_900	7	0	5000	73.365	0
10_3_k4_100	7	0	5001	229.321	0.257
10_3_k4_1000	7	0	5001	224.699	0.829
10_3_k4_200	7	0	5001	229.452	1.641
10_3_k4_300	7	0	5001	239.331	1.122
10_3_k4_400	7	0	5001	222.997	0.148
10_3_k4_500	7	0	5001	228.937	0.921
10_3_k4_600	7	0	5001	231.314	0.295
10_3_k4_700	7	0	5000	223.14	0.524
10_3_k4_800	7	0	5001	223.36	0.579
10_3_k4_900	7	0	5000	222.927	0.236
10_3_k5_100	8	0	5001	271.38	0.011
10_3_k5_1000	8	0	4639	300.013	0.018
10_3_k5_200	8	0	5001	276.802	0.028
10_3_k5_300	8	0	5001	277.868	0.014
10_3_k5_400	8	0	5001	275.752	0.014
10_3_k5_500	8	0	5001	299.849	0.023
10_3_k5_600	8	0	5001	276.88	0.026
10_3_k5_700	8	0	5001	283.452	0.023
10_3_k5_800	8	0	4576	300.004	0.009
10_3_k5_900	8	0	4706	300.048	0.04
10_4_k2_100	5	0	5001	14.898	0.061
10_4_k2_1000	5	0	5001	15.813	0.006
10_4_k2_200	5	0	5001	14.673	0.118
10_4_k2_300	5	0	5000	13.613	0.022
10_4_k2_400	5	0	5001	14.352	0.009
10_4_k2_500	5	0	5000	13.462	0.013
10_4_k2_600	5	0	5001	14.47	0.037
10_4_k2_700	5	0	5001	14.278	0.01
10_4_k2_800	5	0	5001	15.93	0.031
10_4_k2_900	5	0	5001	15.044	0.006
10_4_k3_100	6	0	5001	71.344	0.026
10_4_k3_1000	6	0	5001	84.414	0.099
10_4_k3_200	6	0	5001	68.79	0.033
10_4_k3_300	6	0	5001	71.082	0.01
10_4_k3_400	6	0	5000	72.02	0.066
10_4_k3_500	6	0	5001	67.466	0.037
10_4_k3_600	6	0	5001	69.822	0.104
10_4_k3_700	6	0	5000	70.338	0.076
10_4_k3_800	6	0	5001	79.719	0.035
10_4_k3_900	6	0	5001	77.176	0.053
10_4_k4_100	7	0	5001	141.939	0.058
10_4_k4_1000	7	0	5001	154.105	0.257
10_4_k4_200	7	0	5001	135.81	0.017
10_4_k4_300	7	0	5001	135.642	0.053
10_4_k4_400	7	0	5001	135.89	0.017
10_4_k4_500	7	0	5001	135.516	0.06
10_4_k4_600	7	0	5001	164.722	0.054
10_4_k4_700	7	0	5001	149.917	0.559
10_4_k4_800	7	0	5001	147.541	0.097
10_4_k4_900	7	0	5001	147.501	0.025
10_4_k5_100	8	0	4829	300.021	0.025
10_4_k5_1000	8	0	3150	300.047	0.04
10_4_k5_200	8	0	5001	284.595	0.035
10_4_k5_300	8	0	4519	300.047	0.04
10_4_k5_400	8	0	4436	300.032	0.015
10_4_k5_500	8	0	4959	300.002	0.023
10_4_k5_600	8	0	4844	300.045	0.012
10_4_k5_700	8	0	4601	300.064	0.388
10_4_k5_800	8	0	4417	300.049	0.021
10_4_k5_900	8	0	4952	300.032	0.021
10_5_k2_100	6	0	5000	15.849	0
10_5_k2_1000	6	0	5000	16.67	0
10_5_k2_200	6	0	5000	10.847	0
10_5_k2_300	6	0	5000	14.055	0
10_5_k2_400	6	0	5000	11.499	0
10_5_k2_500	6	0	5000	13.814	0
10_5_k2_600	6	0	5000	16.391	0
10_5_k2_700	6	0	5000	16.077	0
10_5_k2_800	6	0	5000	16.267	0
10_5_k2_900	6	0	5000	16.01	0
10_5_k3_100	7	0	5000	62.317	0
10_5_k3_1000	7	0	5000	74.615	0
10_5_k3_200	7	0	5000	62.95	0
10_5_k3_300	7	0	5000	93.311	0
10_5_k3_400	7	0	5000	70.825	0
10_5_k3_500	7	0	5000	79.504	0
10_5_k3_600	7	0	5000	76.481	0
10_5_k3_700	7	0	5000	71.894	0
10_5_k3_800	7	0	5000	78.839	0
10_5_k3_900	7	0	5000	73.787	0
10_5_k4_100	7	0	5001	164.477	0.023
10_5_k4_1000	7	0	5001	205.636	0.033
10_5_k4_200	7	0	5001	158.599	0.202
10_5_k4_300	7	0	5001	210.223	0.121
10_5_k4_400	7	0	5001	206.983	0.017
10_5_k4_500	7	0	5001	205.919	0.086
10_5_k4_600	7	0	5001	202.067	0.34
10_5_k4_700	7	0	5001	207.655	0.106
10_5_k4_800	7	0	5001	204.051	0.008
10_5_k4_900	7	0	5001	203.788	0.046
10_5_k5_100	8	0	5001	296.514	0.044
10_5_k5_1000	8	0	4623	300.007	0.021
10_5_k5_200	8	0	5001	275.361	0.01
10_5_k5_300	8	0	5001	277.513	0.001
10_5_k5_400	8	0	5001	276.246	0.001
10_5_k5_500	8	0	5001	279.881	0.017
10_5_k5_600	8	0	5001	296.919	0.057
10_5_k5_700	8	0	5001	280.571	0.001
10_5_k5_800	8	0	4725	300.039	0.026
10_5_k5_900	8	0	4471	300.042	0.002
15_1_k2_100	9	0	5001	69.168	0.056
15_1_k2_1000	9	0	5001	55.957	0.002
15_1_k2_200	9	0	5001	65.325	0.016
15_1_k2_300	9	0	5001	66.677	0.016
15_1_k2_400	9	0	5001	67.41	0.019
15_1_k2_500	9	0	5001	64.781	0.023
15_1_k2_600	9	0	5001	59.651	0.129
15_1_k2_700	9	0	5001	61.443	0.012
15_1_k2_800	9	0	5000	55.254	0.039
15_1_k2_900	9	0	5001	55.664	0.011
15_1_k3_100	10	0	2482	300.023	0.077
15_1_k3_1000	10	0	2537	300.118	0.022
15_1_k3_200	10	0	2591	300.16	0.062
15_1_k3_300	10	0	2552	300.028	0.034
15_1_k3_400	10	0	2496	300.071	0.153
15_1_k3_500	10	0	1897	300.034	0.063
15_1_k3_600	10	0	2882	300.063	0.087
15_1_k3_700	10	0	1857	300.087	0.016
15_1_k3_800	10	0	2664	300.059	0.046
15_1_k3_900	10	0	2589	300.027	0.061
15_1_k4_100	11	0	309	300.139	0.315
15_1_k4_1000	11	0	447	300.296	0.335
15_1_k4_200	11	0	472	300.501	0.325
15_1_k4_300	11	0	442	300.702	0.075
15_1_k4_400	11	0	459	300.367	0.243
15_1_k4_500	11	0	434	300.292	0.553
15_1_k4_600	11	0	491	300.135	0.93
15_1_k4_700	11	0	464	300.064	0.294
15_1_k4_800	11	0	480	300.175	0.402
15_1_k4_900	11	0	437	300.187	0.086
15_1_k5_100	11	0	90	301.825	7.924
15_1_k5_1000	11	0	109	300.888	5.471
15_1_k5_200	11	0	108	300.457	6.865
15_1_k5_300	11	0	117	303.933	1.817
15_1_k5_400	11	0	115	302.229	7.155
15_1_k5_500	11	0	111	301.99	13.787
15_1_k5_600	11	0	107	300.919	2.455
15_1_k5_700	11	0	109	300.101	4.521
15_1_k5_800	11	0	95	300.557	36.874
15_1_k5_900	11	0	99	300.528	6.372
15_2_k2_100	8	0	5000	54.126	0
15_2_k2_1000	8	0	5000	54.535	0
15_2_k2_200	8	0	5000	54.759	0
15_2_k2_300	8	0	5000	53.855	0
15_2_k2_400	8	0	5000	57.255	0
15_2_k2_500	8	0	5000	60.616	0
15_2_k2_600	8	0	5000	63.537	0
15_2_k2_700	8	0	5000	60.113	0
15_2_k2_800	8	0	5000	53.97	0
15_2_k2_900	8	0	5000	60.217	0
15_2_k3_100	10	0	3577	300.029	0
15_2_k3_1000	10	0	3437	300.038	0
15_2_k3_200	10	0	3543	300.015	0
15_2_k3_300	10	0	3505	300.046	0
15_2_k3_400	10	0	3527	300.065	0
15_2_k3_500	10	0	3543	300.05	0
15_2_k3_600	10	0	3399	300.024	0
15_2_k3_700	10	0	3503	300.065	0
15_2_k3_800	10	0	3257	300.008	0
15_2_k3_900	10	0	3300	300.037	0
15_2_k4_100	11	0	573	300.911	1.456
15_2_k4_1000	11	0	584	300.282	0.653
15_2_k4_200	11	0	547	300.363	1.635
15_2_k4_300	11	0	406	300.521	1.287
15_2_k4_400	11	0	378	300.012	1.497
15_2_k4_500	11	0	429	300.529	1.273
15_2_k4_600	11	0	410	300.313	1.098
15_2_k4_700	11	0	409	300.647	0.815
15_2_k4_800	11	0	624	300.063	0.553
