file	obj	non_def	iter	time	best_time
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k4	13	0	230	301.199	0.343
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k5	14	0	97	304.701	2.259
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k6	14	0	72	300.722	21.149
runs/real-tries-10-rmax-5/austria-oberoesterreich.txt-k8	15	0	64	311.267	290.142
runs/real-tries-10-rmax-5/austria-steiermark.txt-k2	6	0	5000	26.478	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k3	7	0	5000	178.416	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k4	8	0	2055	300.068	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k5	9	0	800	300.29	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k6	10	0	403	300.6	0
runs/real-tries-10-rmax-5/austria-steiermark.txt-k8	11	0	302	300.569	1.163
runs/real-tries-10-rmax-5/baltimore.txt-k2	117	0	39	1234.03	0
runs/real-tries-10-rmax-5/baltimore.txt-k3	142	0	23	1281.97	300.635
runs/real-tries-10-rmax-5/baltimore.txt-k4	167	0	24	1210.15	646.231
runs/real-tries-10-rmax-5/baltimore.txt-k5	167	0	0	0	0
runs/real-tries-10-rmax-5/baltimore.txt-k6	167	0	0	0	0
runs/real-tries-10-rmax-5/baltimore.txt-k8	167	0	0	0	0
runs/real-tries-10-rmax-5/bari.txt-k2	13	0	5000	154.348	0
runs/real-tries-10-rmax-5/bari.txt-k3	15	0	677	300.301	10.726
runs/real-tries-10-rmax-5/bari.txt-k4	16	0	115	301.517	8.826
runs/real-tries-10-rmax-5/bari.txt-k5	18	0	116	301.191	4.992
runs/real-tries-10-rmax-5/bari.txt-k6	18	0	2590	300.006	38.113
runs/real-tries-10-rmax-5/bari.txt-k8	20	0	684	300.179	1.183
runs/real-tries-10-rmax-5/basel.txt-k2	44	0	188	602.066	219.489
runs/real-tries-10-rmax-5/basel.txt-k3	54	0	155	615.98	302.708
runs/real-tries-10-rmax-5/basel.txt-k4	61	0	112	601.085	24.156
runs/real-tries-10-rmax-5/basel.txt-k5	68	0	54	606.632	474.505
runs/real-tries-10-rmax-5/basel.txt-k6	75	0	14	631.396	631.396
runs/real-tries-10-rmax-5/basel.txt-k8	75	0	0	0	0
runs/real-tries-10-rmax-5/berlin.txt-k2	44	0	137	604.645	70.484
runs/real-tries-10-rmax-5/berlin.txt-k3	57	0	275	611.245	25.497
runs/real-tries-10-rmax-5/berlin.txt-k4	62	0	123	601.151	236.436
runs/real-tries-10-rmax-5/berlin.txt-k5	73	0	19	619.063	314.043
runs/real-tries-10-rmax-5/berlin.txt-k6	73	0	0	0	0
runs/real-tries-10-rmax-5/berlin.txt-k8	73	0	0	0	0
runs/real-tries-10-rmax-5/bern-districts.txt-k2	4	0	5000	1.063	0
runs/real-tries-10-rmax-5/bern-districts.txt-k3	5	0	5000	2.811	0
runs/real-tries-10-rmax-5/bern-districts.txt-k4	6	0	5000	3.438	0
runs/real-tries-10-rmax-5/bern-districts.txt-k5	6	0	5000	1.745	0
runs/real-tries-10-rmax-5/bern-districts.txt-k6	6	0	0	0	0
runs/real-tries-10-rmax-5/bern-districts.txt-k8	6	0	0	0	0
runs/real-tries-10-rmax-5/bern-quarters.txt-k2	16	0	4496	600.026	0.561
runs/real-tries-10-rmax-5/bern-quarters.txt-k3	18	0	187	600.036	3.449
runs/real-tries-10-rmax-5/bern-quarters.txt-k4	21	0	69	600.721	15.199
runs/real-tries-10-rmax-5/bern-quarters.txt-k5	22	0	395	600.111	22.712
runs/real-tries-10-rmax-5/bern-quarters.txt-k6	24	0	184	602.725	392.837
runs/real-tries-10-rmax-5/bern-quarters.txt-k8	28	0	15	604.118	604.118
runs/real-tries-10-rmax-5/birmingham.txt-k2	87	0	5000	0.052	0
runs/real-tries-10-rmax-5/birmingham.txt-k3	87	0	0	0	0
runs/real-tries-10-rmax-5/birmingham.txt-k4	87	0	0	0	0
runs/real-tries-10-rmax-5/birmingham.txt-k5	87	0	0	0	0
runs/real-tries-10-rmax-5/birmingham.txt-k6	87	0	0	0	0
runs/real-tries-10-rmax-5/birmingham.txt-k8	87	0	0	0	0
runs/real-tries-10-rmax-5/boston.txt-k2	14	0	5000	235.364	0
runs/real-tries-10-rmax-5/boston.txt-k3	16	0	464	300.368	0.675
runs/real-tries-10-rmax-5/boston.txt-k4	18	0	118	301.218	1.457
runs/real-tries-10-rmax-5/boston.txt-k5	19	0	71	302.13	6.136
runs/real-tries-10-rmax-5/boston.txt-k6	21	0	756	300.19	3.229
runs/real-tries-10-rmax-5/boston.txt-k8	24	0	155	300.784	0
runs/real-tries-10-rmax-5/bronx.txt-k2	32	0	829	600.471	227.417
runs/real-tries-10-rmax-5/bronx.txt-k3	39	0	115	601.958	118.964
runs/real-tries-10-rmax-5/bronx.txt-k4	40	0	388	600.995	456.932
runs/real-tries-10-rmax-5/bronx.txt-k5	46	0	106	606.996	309.087
runs/real-tries-10-rmax-5/bronx.txt-k6	53	0	21	610.016	240.744
runs/real-tries-10-rmax-5/bronx.txt-k8	53	0	0	0	0
runs/real-tries-10-rmax-5/brooklyn.txt-k2	28	0	831	600.293	92.982
runs/real-tries-10-rmax-5/brooklyn.txt-k3	36	0	350	601.523	242.618
runs/real-tries-10-rmax-5/brooklyn.txt-k4	37	0	448	601.171	551.075
runs/real-tries-10-rmax-5/brooklyn.txt-k5	41	0	122	600.813	267.428
runs/real-tries-10-rmax-5/brooklyn.txt-k6	45	0	18	629.707	543.673
runs/real-tries-10-rmax-5/brooklyn.txt-k8	45	0	0	0	0
runs/real-tries-10-rmax-5/calgary.txt-k2	105	0	29	1252.69	0
runs/real-tries-10-rmax-5/calgary.txt-k3	127	0	29	1210.74	857.252
runs/real-tries-10-rmax-5/calgary.txt-k4	150	0	24	1278.29	624.18
runs/real-tries-10-rmax-5/calgary.txt-k5	150	0	0	0	0
runs/real-tries-10-rmax-5/calgary.txt-k6	150	0	0	0	0
runs/real-tries-10-rmax-5/calgary.txt-k8	150	0	0	0	0
runs/real-tries-10-rmax-5/canberra.txt-k2	46	0	207	1202.66	691.382
runs/real-tries-10-rmax-5/canberra.txt-k3	59	0	213	1201.6	0
runs/real-tries-10-rmax-5/canberra.txt-k4	64	0	64	1204.2	608.367
runs/real-tries-10-rmax-5/canberra.txt-k5	74	0	17	1244.26	803.806
runs/real-tries-10-rmax-5/canberra.txt-k6	74	0	0	0	0
runs/real-tries-10-rmax-5/canberra.txt-k8	74	0	0	0	0
runs/real-tries-10-rmax-5/chapel-hill.txt-k2	134	0	5000	2.833	0
runs/real-tries-10-rmax-5/chapel-hill.txt-k3	160	0	5000	8.258	0
runs/real-tries-10-rmax-5/chapel-hill.txt-k4	179	0	5001	9.603	0.001
runs/real-tries-10-rmax-5/chapel-hill.txt-k5	179	0	0	0	0
runs/real-tries-10-rmax-5/chapel-hill.txt-k6	179	0	0	0	0
runs/real-tries-10-rmax-5/chapel-hill.txt-k8	179	0	0	0	0
runs/real-tries-10-rmax-5/charlottesville.txt-k2	11	0	5000	118.015	0.229
runs/real-tries-10-rmax-5/charlottesville.txt-k3	12	0	986	300.303	0.301
runs/real-tries-10-rmax-5/charlottesville.txt-k4	13	0	175	300.902	8.021
runs/real-tries-10-rmax-5/charlottesville.txt-k5	14	0	93	301.159	11.833
runs/real-tries-10-rmax-5/charlottesville.txt-k6	14	0	60	301.802	16.541
runs/real-tries-10-rmax-5/charlottesville.txt-k8	16	0	1335	300.256	35.106
runs/real-tries-10-rmax-5/chesapeake.txt-k2	5	0	5000	7.303	0
runs/real-tries-10-rmax-5/chesapeake.txt-k3	5	0	5001	22.658	0.002
runs/real-tries-10-rmax-5/chesapeake.txt-k4	6	0	5001	64.527	0
runs/real-tries-10-rmax-5/chesapeake.txt-k5	7	0	5001	97.171	0.002
runs/real-tries-10-rmax-5/chesapeake.txt-k6	8	0	5001	100.796	0.001
runs/real-tries-10-rmax-5/chesapeake.txt-k8	9	0	5000	16.924	0
runs/real-tries-10-rmax-5/chicago.txt-k2	47	0	120	603.214	0
runs/real-tries-10-rmax-5/chicago.txt-k3	59	0	165	605.232	0
runs/real-tries-10-rmax-5/chicago.txt-k4	65	0	51	601.404	324.777
runs/real-tries-10-rmax-5/chicago.txt-k5	74	0	20	619.904	442.968
runs/real-tries-10-rmax-5/chicago.txt-k6	74	0	0	0	0
runs/real-tries-10-rmax-5/chicago.txt-k8	74	0	0	0	0
runs/real-tries-10-rmax-5/china.txt-k2	18	0	4567	600.002	0
runs/real-tries-10-rmax-5/china.txt-k3	22	0	230	602.869	0
runs/real-tries-10-rmax-5/china.txt-k4	25	0	154	602.944	166.902
runs/real-tries-10-rmax-5/china.txt-k5	26	0	676	601.082	39.685
runs/real-tries-10-rmax-5/china.txt-k6	28	0	193	601.335	23.164
runs/real-tries-10-rmax-5/china.txt-k8	31	0	19	625.754	325.644
runs/real-tries-10-rmax-5/cincinnati.txt-k2	26	0	1561	600.025	0.534
runs/real-tries-10-rmax-5/cincinnati.txt-k3	30	0	150	603.897	352.687
runs/real-tries-10-rmax-5/cincinnati.txt-k4	33	0	859	600.03	62.115
runs/real-tries-10-rmax-5/cincinnati.txt-k5	35	0	340	600.108	184.243
runs/real-tries-10-rmax-5/cincinnati.txt-k6	40	0	51	600.602	334.471
runs/real-tries-10-rmax-5/cincinnati.txt-k8	44	0	14	631.973	466.209
runs/real-tries-10-rmax-5/cleveland.txt-k2	21	0	3231	600.162	56.15
runs/real-tries-10-rmax-5/cleveland.txt-k3	24	0	129	600.341	73.577
runs/real-tries-10-rmax-5/cleveland.txt-k4	28	0	116	605.783	37.97
runs/real-tries-10-rmax-5/cleveland.txt-k5	29	0	1583	600.234	292.691
runs/real-tries-10-rmax-5/cleveland.txt-k6	31	0	536	600.98	101.939
runs/real-tries-10-rmax-5/cleveland.txt-k8	34	0	69	601.606	173.119
runs/real-tries-10-rmax-5/cologne.txt-k2	39	0	172	600.697	0
runs/real-tries-10-rmax-5/cologne.txt-k3	49	0	219	601.097	0
runs/real-tries-10-rmax-5/cologne.txt-k4	54	0	60	600.611	209.978
runs/real-tries-10-rmax-5/cologne.txt-k5	60	0	17	622.737	470.572
runs/real-tries-10-rmax-5/cologne.txt-k6	69	0	8	607.632	607.632
runs/real-tries-10-rmax-5/cologne.txt-k8	69	0	0	0	0
runs/real-tries-10-rmax-5/columbus.txt-k2	22	0	2810	600.195	0.561
runs/real-tries-10-rmax-5/columbus.txt-k3	26	0	116	600.25	4.998
runs/real-tries-10-rmax-5/columbus.txt-k4	28	0	93	602.537	550.596
runs/real-tries-10-rmax-5/columbus.txt-k5	29	0	457	600.772	335.426
runs/real-tries-10-rmax-5/columbus.txt-k6	34	0	101	605.418	119.204
runs/real-tries-10-rmax-5/columbus.txt-k8	39	0	13	611.245	0
runs/real-tries-10-rmax-5/dallas.txt-k2	24	0	0	0	0
runs/real-tries-10-rmax-5/dallas.txt-k3	24	0	0	0	0
runs/real-tries-10-rmax-5/dallas.txt-k4	24	0	0	0	0
runs/real-tries-10-rmax-5/dallas.txt-k5	24	0	0	0	0
runs/real-tries-10-rmax-5/dallas.txt-k6	24	0	0	0	0
runs/real-tries-10-rmax-5/dallas.txt-k8	24	0	0	0	0
runs/real-tries-10-rmax-5/denver.txt-k2	37	0	251	600.029	24.866
runs/real-tries-10-rmax-5/denver.txt-k3	47	0	270	600.949	0
runs/real-tries-10-rmax-5/denver.txt-k4	52	0	172	600.935	216.023
runs/real-tries-10-rmax-5/denver.txt-k5	60	0	34	604.598	288.873
runs/real-tries-10-rmax-5/denver.txt-k6	67	0	15	623.681	0
runs/real-tries-10-rmax-5/denver.txt-k8	67	0	0	0	0
runs/real-tries-10-rmax-5/des-moines.txt-k2	35	0	737	600.01	6.317
runs/real-tries-10-rmax-5/des-moines.txt-k3	43	0	324	603.269	88.601
runs/real-tries-10-rmax-5/des-moines.txt-k4	46	0	181	602.443	71.547
runs/real-tries-10-rmax-5/des-moines.txt-k5	49	0	420	600.728	256.798
runs/real-tries-10-rmax-5/des-moines.txt-k6	54	0	118	602.446	216.942
runs/real-tries-10-rmax-5/des-moines.txt-k8	54	0	0	0	0
runs/real-tries-10-rmax-5/detroit.txt-k2	63	0	5000	0.051	0
runs/real-tries-10-rmax-5/detroit.txt-k3	71	0	5001	28.688	0.048
runs/real-tries-10-rmax-5/detroit.txt-k4	77	0	5001	59.049	0.019
runs/real-tries-10-rmax-5/detroit.txt-k5	79	0	5001	80.539	0
runs/real-tries-10-rmax-5/detroit.txt-k6	83	0	5000	79.126	0
runs/real-tries-10-rmax-5/detroit.txt-k8	89	0	5000	11.222	0
runs/real-tries-10-rmax-5/dresden.txt-k2	41	0	188	601.221	220.429
runs/real-tries-10-rmax-5/dresden.txt-k3	53	0	415	600.407	0
runs/real-tries-10-rmax-5/dresden.txt-k4	57	0	122	603.043	476.839
runs/real-tries-10-rmax-5/dresden.txt-k5	65	0	21	610.673	458.726
runs/real-tries-10-rmax-5/dresden.txt-k6	75	0	12	618.114	460.509
runs/real-tries-10-rmax-5/dresden.txt-k8	75	0	0	0	0
runs/real-tries-10-rmax-5/dublin.txt-k2	12	0	5000	232.202	0
runs/real-tries-10-rmax-5/dublin.txt-k3	14	0	424	300.191	23.523
runs/real-tries-10-rmax-5/dublin.txt-k4	16	0	80	301.91	3.587
